recommender,poi,district,neighbourhood,lat,lon,visits,capacity,utilization,popularity,sustainability,local_value,run
sustainable,Collserola Viewpoints,Sarria-Sant Gervasi,Collserola,41.4269,2.1005,226,650,0.3476923076923077,0.28,0.93,0.52,0
sustainable,MUHBA Placa del Rei,Ciutat Vella,Gotic,41.3849,2.1772,114,300,0.38,0.44,0.7,0.54,0
sustainable,Raval Street Art Route,Ciutat Vella,Raval,41.3802,2.1697,169,500,0.338,0.34,0.74,0.82,0
sustainable,El Clot Park,Sant Marti,El Clot,41.4101,2.1885,173,550,0.3145454545454546,0.21,0.88,0.66,0
sustainable,Forum Park,Sant Marti,Diagonal Mar,41.4117,2.2269,138,1000,0.138,0.31,0.76,0.55,0
sustainable,Diagonal Mar Park,Sant Marti,Diagonal Mar,41.4075,2.2165,228,800,0.285,0.29,0.86,0.62,0
popularity,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,974,900,1.0822222222222222,0.99,0.45,0.45,1
popularity,Casa Batllo,Eixample,Dreta de l'Eixample,41.3917,2.1649,434,550,0.7890909090909091,0.94,0.42,0.4,1
popularity,La Pedrera,Eixample,Dreta de l'Eixample,41.3954,2.1619,410,520,0.7884615384615384,0.9,0.46,0.42,1
popularity,Park Guell,Gracia,La Salut,41.4145,2.1527,1309,800,1.63625,0.92,0.62,0.5,1
popularity,La Rambla,Ciutat Vella,Raval/Gotic,41.3818,2.1716,1420,1200,1.1833333333333333,0.88,0.35,0.55,1
popularity,Mercat de la Boqueria,Ciutat Vella,Raval,41.3817,2.1714,732,700,1.0457142857142858,0.87,0.5,0.82,1
popularity,Barcelona Cathedral,Ciutat Vella,Gotic,41.3839,2.1763,309,650,0.4753846153846154,0.84,0.5,0.48,1
popularity,Gothic Quarter,Ciutat Vella,Gotic,41.383,2.176,2072,1800,1.1511111111111112,0.89,0.44,0.7,1
popularity,Picasso Museum,Ciutat Vella,Sant Pere,41.3852,2.1809,18,480,0.0375,0.8,0.55,0.52,1
popularity,Santa Maria del Mar,Ciutat Vella,Born,41.3839,2.182,3,500,0.006,0.76,0.58,0.55,1
popularity,Parc de la Ciutadella,Ciutat Vella,Sant Pere,41.3881,2.1875,5,1300,0.0038461538461538464,0.74,0.83,0.56,1
