recommender,district,visits,visit_share,spend,spend_share,run
personalized,Gracia,639,0.05906275995933081,12175.999999999898,0.06826767522214088,6
personalized,Horta-Guinardo,239,0.022090766244569737,4339.160000000003,0.024328545139364936,6
personalized,Les Corts,142,0.01312505776874018,3489.0999999999917,0.01956247910788216,6
personalized,Nou Barris,329,0.03040946483039098,4116.960000000017,0.023082727347449792,6
personalized,Sant Andreu,118,0.010906738145854515,1807.200000000001,0.010132501861157531,6
personalized,Sant Marti,1797,0.1660966817635641,23328.600000000068,0.13079741197332898,6
personalized,Sants-Montjuic,994,0.09187540438118126,21168.179999999946,0.1186844971488031,6
personalized,Sarria-Sant Gervasi,473,0.04371938256770496,8826.079999999989,0.0494855422901312,6
sustainable,Ciutat Vella,3240,0.3041682313180623,47536.58000000025,0.26803741336225945,6
sustainable,Eixample,1152,0.10814870446864439,25302.300000000127,0.14266829974129178,6
sustainable,Gracia,768,0.07209913631242959,14744.519999999862,0.08313772261420665,6
sustainable,Horta-Guinardo,500,0.04693954187007135,8656.40000000004,0.04880954972000638,6
sustainable,Les Corts,280,0.026286143447239955,6678.5999999999685,0.037657624273373644,6
sustainable,Nou Barris,612,0.05745399924896733,7650.720000000037,0.04313897211702871,6
sustainable,Sant Andreu,481,0.04515583927900864,7335.71999999997,0.041362828666887175,6
sustainable,Sant Marti,1762,0.16541494555013142,23243.68000000005,0.1310606666323085,6
sustainable,Sants-Montjuic,1142,0.10720991363124296,23546.419999999896,0.13276768145165915,6
sustainable,Sarria-Sant Gervasi,715,0.06712354487420202,12655.600000000071,0.07135924142097332,6
popularity,Ciutat Vella,5671,0.527387705756533,76067.6599999981,0.3950407693368502,7
popularity,Eixample,2363,0.21975262717381197,64629.89999999975,0.33564126224159163,7
popularity,Gracia,1155,0.10741188505533339,24260.67999999992,0.12599253995502613,7
popularity,Horta-Guinardo,28,0.0026039244861899005,540.3200000000002,0.0028060338452384668,7
popularity,Les Corts,113,0.010508695247837813,2805.079999999996,0.014567569992969914,7
popularity,Nou Barris,238,0.022133358132614155,3000.240000000011,0.01558109080514933,7
popularity,Sant Andreu,4,0.0003719892123128429,60.480000000000004,0.00031408966345873265,7
popularity,Sant Marti,576,0.05356644657304938,8303.119999999946,0.043120439260209247,7
popularity,Sants-Montjuic,434,0.04036082953594346,8701.400000000047,0.04518881940508979,7
popularity,Sarria-Sant Gervasi,171,0.015902538826374036,4187.599999999996,0.021747385494374792,7
personalized,Ciutat Vella,4564,0.4225143491945936,65776.92000000014,0.3670586643907716,7
personalized,Eixample,1572,0.1455286058137382,34987.56000000012,0.19524305856662189,7
